index,third_party,rep_inc_party,dem_inc,rep_inc,dem_inc_party,july_dem,jul_rep,aug_dem,aug_rep,sep_dem,sep_rep,oct_dem,oct_rep,unem_dec_t_1,unem_per_change_t_2_t_1,GDP_per_change_t_1,inflation_t_1,last_recession,greatwar_years,avg_pres_approval,int_pres_approval_dem_inc,int_pres_approval_dem_inc_party,pop,state_gdp,area,state_gdp_per_cap,pop_density,region_ne,region_mw,region_s,region_w,prog,trad,moral,ind,lag_dem_per,lag2_dem_per,counter,int_south_year,lag_citi,lag_nom
14,0.0,1.0,0.0,1.0,0.0,37.0,56.0,30.5,60.5,33.0,61.0,35.0,59.5,6.0,-0.1,3.3,3.3,2.0,1.0,55.8,0.0,0.0,3521000.0,13600000000.0,"52,420.07",3860.0,67.16892976,0,0,1,0,0,0,0,0,18.7,0.0,14,14,6.310116767999999,58.31417084
18,0.0,1.0,0.0,0.0,0.0,62.0,29.0,52.5,34.0,51.0,40.0,47.33,45.0,4.9,-0.3,5.6,8.7,1.0,0.0,47.2,0.0,0.0,3653000.0,21300000000.0,"52,420.07",5830.0,69.68704925,0,0,1,0,0,0,0,0,25.5,18.7,18,18,15.88528061,56.23742676
22,1.0,0.0,1.0,0.0,1.0,35.0,34.75,35.67,40.67,35.67,40.67,44.33,42.0,6.0,0.0,3.2,13.3,0.0,0.0,45.5,45.5,45.5,3895000.0,33700000000.0,"52,420.07",8650.0,74.30360165,0,0,1,0,0,0,0,0,55.7,25.5,22,22,25.33955574,57.74647903
26,0.0,1.0,0.0,1.0,0.0,41.0,53.0,38.5,55.25,38.5,55.25,39.33,57.67,8.3,-2.5,4.6,3.8,2.0,0.0,50.3,0.0,0.0,3991000.0,45700000000.0,"52,420.07",11500.0,76.13496128,0,0,1,0,0,0,0,0,47.4,55.7,26,26,29.22126961,56.63983917
30,0.0,1.0,0.0,0.0,0.0,50.5,39.0,49.0,42.0,41.5,48.0,40.0,50.0,5.7,-0.9,3.5,4.4,6.0,0.0,55.3,0.0,0.0,4103000.0,60800000000.0,"52,420.07",14800.0,78.27154752,0,0,1,0,0,0,0,0,38.3,47.4,30,30,28.21488953,54.59423065
34,1.0,1.0,0.0,1.0,0.0,52.25,37.5,52.67,39.33,52.0,38.8,44.92,33.83,7.3,1.0,-0.1,3.1,1.0,0.0,60.9,0.0,0.0,4138000.0,76000000000.0,"52,420.07",18400.0,78.93923072,0,0,1,0,0,0,0,0,39.9,38.3,34,34,45.0299263,42.46370697
38,1.0,0.0,1.0,0.0,1.0,50.0,34.0,51.2,35.8,52.77,35.23,52.2,35.8,5.6,0.1,2.7,2.5,5.0,0.0,49.6,49.6,49.6,4291000.0,95800000000.0,"52,420.07",22300.0,81.85796013,0,0,1,0,0,0,0,0,40.9,39.9,38,38,39.622119899999994,42.75114822
42,0.0,0.0,0.0,0.0,1.0,41.0,47.5,42.0,50.25,43.62,47.23,43.73,46.87,4.0,-0.4,4.8,2.7,9.0,0.0,60.6,0.0,60.6,4447000.0,115000000000.0,"52,420.07",25900.0,84.83391953,0,0,1,0,0,0,0,0,43.2,40.9,42,42,29.3992424,45.52942657
46,0.0,1.0,0.0,1.0,0.0,47.33,47.33,46.0,48.0,44.5,52.0,47.4,49.8,5.7,-0.3,2.9,1.9,3.0,1.0,62.2,0.0,0.0,4509000.0,134000000000.0,"52,420.07",29700.0,86.01667262,0,0,1,0,0,0,0,0,41.6,43.2,46,46,32.0957489,67.07746887
50,0.0,1.0,0.0,0.0,0.0,46.5,42.5,47.67,43.0,46.67,46.33,51.8,41.6,5.0,0.6,1.9,4.1,0.0,1.0,36.5,0.0,0.0,4677000.0,170000000000.0,"52,420.07",36300.0,89.22155197,0,0,1,0,0,0,0,0,36.8,41.6,50,50,39.14337921,44.617706299999995
